"idJeu","libelleJeu","auteurJeu","nbMinJoueurJeu","nbMaxJoueurJeu","noticeJeu","idEditeur","idTypeJeu","agemini","prototype","duree","theme","description","imageJeu","videoRegle"
"31","Stellium",,"2","4",,"99","1","7","0","30",,,,
"32","Kingdom Run",,"2","4",,"99","1","10","0","15",,,,
"33","HEIN ? Cinéma & Personnalités",,"3","17",,"103","1","10","0","30",,,,
"34","HEIN ? Famille & Culture Pop",,"3","17",,"103","1","10","0","30",,,,
"35","Queendomino",,"1","4",,"104","1","8","0","30",,,,
"36","Photosynthesis",,"2","4",,"104","1","10","0","60",,,,
"37","Dr Microbe",,"0","0",,"104","1","0","0","0",,,,
"38","Kang",,"0","0",,"104","1","0","0","0",,,,
"39","Oliver Twist",,"2","4",,"106","1","10","0","45",,,,
"40","Jack & Le Haricot Magique",,"2","5",,"106","1","7","0","20",,,,
"41","Welcome",,"1","100","http://www.bluecocker.com/wp-content/uploads/jeux/Welcome/Regles_fr&en.pdf","107","1","10","0","25",,,,
"49","Bubblee Pop",,"2","2",,"109","1","8","0","30",,,,
"50","Banquet Royal",,"2","4",,"109","1","7","1","30",,,,
"51","Gravity Stones",,"1","4",,"109","1","12","1","45",,,,
"53","Tandem",,"0","0",,"110","1","0","0","0",,,,
"54","Pas de lézard",,"0","0",,"110","1","0","0","0",,,,
"55","Nomades",,"2","5",,"111","1","8","0","40",,,,
"56","Colt Express","Christophe Raimbault","2","6","https://cdn.1j1ju.com/medias/f3/9e/41-colt-express-regle.pdf","111","1","10","0","40","Western","Dans Colt Express, incarnez un Desperado qui attaque un train de voyageurs dans ce jeu qui se déroule au Far West ! Pas de pitié, il ne peut y avoir qu'un seul As de la gâchette !","https://cdn2.philibertnet.com/334664-large_default/colt-express.jpg","https://www.youtube.com/watch?v=Th9E7OMgJrU&t=1s"
"57","Carta Imperia Victoria",,"2","4",,"111","1","8","0","30",,,,
"58","Prochain Jeu Luma",,"0","0",,"111","1","0","1","0",,,,
"59","Bourpif",,"2","4","http://www.paille-editions.com/wp-content/uploads/bourpif.pdf","112","1","7","1","10",,,,
"60","Pontu",,"2","4",,"113","1","6","0","20",,,,
"61","Kiwara",,"2","0",,"114","1","8","0","30",,,,
"62","Escape Book",,"0","0",,"115","1","0","0","0",,,,
"63","POC",,"0","0",,"116","1","0","0","0",,,,
"64","Panic Island !",,"1","8",,"117","1","8","0","2",,,,
"65","Débrouille-toi !",,"2","6",,"119","1","8","0","20",,,,
"66","J'aime beaucoup ce que vous dites",,"2","6",,"119","1","16","0","25",,,,
"67","Comment j'ai adopté un gnou",,"3","8","https://cdn.1j1ju.com/medias/63/57/3d-comment-jai-adopte-un-gnou-regle.pdf","119","2","8","0","20",,,,
"68","Comment j'ai adopté un dragon",,"3","8",,"119","1","7","0","20",,,,
"69","Ta Bouche",,"3","8","https://www.didacto.com/index.php?controller=attachment&id_attachment=1557","119","1","7","0","20",,,,
"70","Taggle",,"3","10","https://www.youtube.com/watch?v=k0xeLQC7bl4&t=","119","1","14","0","20",,,,
"71","Taggle d'amour",,"2","4",,"119","1","16","0","20",,,,
"72","Troquons !",,"3","9",,"119","1","12","0","20",,,,
"74","Karuba",,"2","4","https://www.youtube.com/watch?v=5kZz2RnxfWQ","123","1","8","0","40",,,,
"75","Booum !",,"2","4",,"123","4","6","0","20",,,,
"76","Iquazù",,"2","4",,"123","1","10","0","50",,,,
"77","Licornes dans les nuages",,"2","4","https://cdn.haba.de/content/medias/manual/300123-einhorn-glitzerglueck-spielanleitung-6s.pdf","123","4","3","0","10",,,,
"78","Rhino Hero Super Battle",,"2","4",,"123","4","5","0","15",,,,
"79","Kikou le coucou",,"2","5",,"123","4","4","0","15",,,,
"80","Karuba junior",,"1","4",,"123","4","4","0","10",,,,
"81","Trésor de glace",,"2","4","https://cdn.haba.de/content/medias/manual/303402-funkelschatz-spielanleitung-6s.pdf","123","4","5","0","15",,,,
"83","Dice Forge",,"2","4",,"124","1","10","0","45",,,,
"84","Attack of the Jelly Monster",,"3","5",,"124","1","8","0","15",,,,
"85","Cortex Challenge",,"2","6","https://fr.asmodee.com/fr/games/cortex-challenge/","125","2","8","0","15",,,,
"86","Cortex² Challenge",,"2","6",,"125","2","8","0","15",,,,
"87","Cortex Challenge KIDS",,"2","6","http://captain-macaque.com/pdf/Cortex%C2%B2_Kids_Rulebook.pdf","125","2","6","0","15",,,,
"88","Cortex² Challenge Kids",,"2","6","http://captain-macaque.com/pdf/Cortex%C2%B2_Kids_Rulebook.pdf","125","2","6","0","15",,,,
"89","Farmy Up",,"2","4","https://www.bioviva.com/fr/index.php?controller=attachment&id_attachment=27","126","4","5","0","20",,,,
"90","Le jeu du potager",,"0","0","https://www.bioviva.com/fr/index.php?controller=attachment&id_attachment=14","126","1","0","0","0",,,,
"91","Bioviva Junior",,"2","4",,"126","1","5","0","20",,,,
"92","Défis nature",,"2","6",,"126","1","4","0","16",,,,
"93","Défis Nature Chrono",,"2","4","https://www.bioviva.com/fr/index.php?controller=attachment&id_attachment=58","126","1","7","0","20",,,,
"95","Mot pour mot",,"2","16",,"129","1","8","0","20",,,,
"96","Decrypto",,"3","8","https://www.scorpionmasque.com/sites/scorpionmasque.com/files/decrypto_rules_fr_03oct2017_v2.pdf","129","1","12","0","30",,,,
"97","Chasse aux monstres & Monstrueux",,"2","4",,"129","1","5","0","10",,,,
"98","Paper Tales","Masato Uesugi","2","5","https://catchupgames.com/media/papertales/papertales_regles.pdf","130","1","12","0","45","Fantastique, Médiéval","Ouvrez le livre des siècles oubliés pour revivre des temps héroïques, peuplés de créatures fantastiques. Développez votre Royaume à travers les Âges et mesurez-vous à vos adversaires pour écrire votre légende !","https://cdn3.philibertnet.com/552750-large_default/paper-tales-edition-integrale.jpg","https://www.youtube.com/watch?v=1kmGwtUy4eU"
"99","Twelve heroes",,"2","0",,"130","1","12","0","30",,,,
"100","Little Big Fish",,"2","0",,"132","1","8","0","20",,,,
"102","Time Arena",,"2","4",,"135","1","10","0","10",,,,
"103","Doggy Bag",,"2","6",,"135","1","8","0","20",,,,
"109","Kimono",,"2","4",,"166","1","10","0","30",,,,
"110","Chawaï",,"3","6",,"166","1","9","0","10",,,,
"111","Doodle Islands",,"0","0",,"166","1","0","0","0",,,,
"113","Trôl",,"2","5","http://regle.jeuxsoc.fr/trols_rg.pdf","167","2","10","0","30",,,,
"114","Zombie bus",,"0","0","http://www.pixiegames.fr/index.php?controller=attachment&id_attachment=73","167","2","0","1","0",,,,
"115","Seeders from Sereis - Episode 1 : Exodus",,"2","4",,"167","3","14","0","120",,,,
"116","Clank ! Trésors engloutis",,"2","4",,"168","1","12","0","60",,,,
"117","Ex Libris",,"1","4",,"168","1","12","0","60",,,,
"118","Mission pas possible",,"1","5",,"168","1","10","0","10",,,,
"119","Codenames",,"2","8","http://iello.fr/regles/Codenames_rulebook_FR-web_2018.pdf","146","6","12","0","15",,,,
"120","Codenames duo",,"2","0",,"146","1","12","0","15",,,,
"121","King of Tokyo",,"2","6","http://iello.fr/regles/regles_KOTv2.pdf","146","1","8","0","30",,,,
"122","Bunny Kingdom",,"2","4",,"146","1","12","0","40",,,,
"123","Ademimo",,"3","6",,"146","1","8","0","20",,,,
"124","TimeBomb","Yusuke Sato","4","8","https://www.philibertnet.com/fr/index.php?controller=attachment&id_attachment=1271","146","1","8","0","30","Victorien","Time Bomb est un jeu de bluff et de déduction rapide où la tension ne cesse de monter tout au long de la partie. Dans quel camp serez-vous ? Parmi les gentils ou les méchants ? Jouez à Time Bomb et vous le saurez !","https://cdn1.philibertnet.com/362353-large_default/time-bomb.jpg","https://www.youtube.com/watch?v=xA61Nzne0Fg"
"125","SOS Dino",,"1","4","http://iello.fr/regles/SOS_DINO.pdf","228","1","7","0","25",,,,
"128","Small Detectives",,"2","5",,"160","1","8","0","20",,,,
"130","Jeux d'énigmes conçus spécifiquement par Prizonner",,"0","0",,"169","1","0","0","0",,,,
"131","Imaginarium",,"2","5","http://www.studiobombyx.com/espacepro/imaginarium/IMAGINARIUM_Rulebook_FR_Presse.pdf","139","1","14","0","90",,,,
"132","Cardline Animaux",,"2","8",,"100","1","7","0","15",,,,
"135","Exploding Kittens",,"2","5",,"100","2","7","0","20",,,,
"136","Abalone",,"2","0",,"100","1","8","0","30",,,,
"137","Mixmo",,"2","6",,"100","1","8","0","30",,,,
"146","Dr Pilule",,"4","10","https://www.docteurpilule.com/pages/presentation-du-jeu","141","1","10","0","30",,,,
"147","Harald",,"2","4",,"163","1","10","0","30",,,,
"148","Blackwood",,"2","4",,"163","1","10","0","60",,,,
"149","Bubblee Pop Level Up (extension Bubblee Pop)",,"2","2",,"109","1","8","0","30",,,,
"150","Comme des rats",,"2","5",,"103","1","8","0","20",,,,
"151","Feelings",,"3","8",,"97","1","8","0","30",,,,
"152","Memoaar (si arrivé à Cannes)",,"0","0",,"97","1","0","0","0",,,,
"153","Ilos",,"2","5",,"149","1","10","0","45",,,,
"154","Grumpf",,"2","6",,"149","1","8","0","15",,,,
"155","Kamarka",,"2","4",,"151","1","10","0","0",,,,
"156","Arboria",,"2","4",,"151","1","10","0","45",,,,
"157","Deep Sea Adventure",,"2","6",,"160","1","8","0","30",,,,
"158","Explorateurs de la mer du Nord",,"1","4",,"160","3","12","0","90",,,,
"159","Qwarks",,"2","8",,"160","1","8","0","20",,,,
"160","Loot Island",,"2","5",,"160","1","10","0","120",,,,
"161","Altiplano",,"2","5",,"160","3","12","0","90",,,,
"162","Splendor + extension",,"2","4","https://www.spacecowboys.fr/img/games/splendor/details/rules/Rules_Splendor_FR.pdf","165","1","10","0","30",,,,
"163","Sherlock Holmes",,"1","6",,"165","1","12","0","40",,,,
"164","Unlock - 5ème avenue",,"1","6",,"165","1","12","0","90",,,,
"165","Pelegrinus",,"0","0",,"101","3","0","1","0",,,,
"166","Guédelon",,"1","4",,"101","3","7","0","60",,,,
"167","When I Dream",,"4","8","http://www.whenidream.net/files/rules/WhenIDream-Rules-FR.pdf","162","2","10","0","30",,,,
"168","Secrets",,"4","8",,"162","2","10","0","20",,,,
"169","Concept",,"4","12","http://www.concept-the-game.com/concept/files/rules/CONCEPT-RULES-FR.pdf","162","2","10","0","40",,,,
"170","7 Wonders",,"2","7","http://rprod.com/uploads/file/7WONDERS_RULES_FR_COLOR.pdf","162","3","10","0","30",,,,
"171","7 Wonders Duel + Pantheon",,"2","0",,"162","3","10","0","30",,,,
"172","Amun-Re le jeu de carte",,"2","5","http://www.supermeeple.com/wp-content/uploads/2017/09/arcg-fr-rules-180x180.pdf","136","3","12","0","45",,,,
"173","Tikal",,"2","4",,"136","3","10","0","90",,,,
"174","Mafiozoo",,"2","4",,"136","3","12","0","60",,,,
"175","Twin-It",,"2","6","http://www.cocktailgames.com/wp-content/uploads/2018/11/Re%CC%80gles_Twin_It_1118_BD.pdf","128","2","6","0","15",,,,
"176","Pikto",,"3","6",,"128","2","12","0","30",,,,
"177","Face de bouc","Alena Lebedeva","2","7","https://www.philibertnet.com/fr/index.php?controller=attachment&id_attachment=1608","128","2","6","0","15","Humour","Face de bouc est un jeu de mémoire simple qui encourage la créativité et l’humour. Inventez un nom aux personnages mais quand ils reviennent, criez-le en premier.","https://cdn1.philibertnet.com/660928-large_default/face-de-bouc.jpg","https://www.youtube.com/watch?v=vwrdjLbGr_E"
"178","Jetlag",,"3","8",,"128","2","12","0","30",,,,
"179","Imagine (version xxl)",,"3","8",,"128","2","12","0","30",,,,
"180","Profiler (version xxl)",,"3","8",,"128","2","12","0","30",,,,
"181","Terre Pirates",,"3","6",,"172","3","14","0","45",,,,
"182","Gunny Town",,"0","0",,"172","3","0","1","0",,,,
"183","Anti-virus","Raf Peeters","1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/anti-virus","164","1","7","0","15","Abstrait","Anti-Virus est un jeu de casse-tête comprenant 60 défis de 5 niveaux de difficulté croissante afin de permettre à tous les âges de se remuer les méninges. Attention à la contagion… du plaisir de jouer!","https://cdn2.philibertnet.com/451940-large_default/anti-virus.jpg","https://www.youtube.com/watch?v=NqwHRr7S7g4"
"184","Archipel des dinosaures",,"1","0",,"164","4","6","0","0",,,,
"185","Au voleur",,"1","0",,"164","4","7","0","0",,,,
"186","Cache Cache Jungle",,"1","0",,"164","4","7","0","0",,,,
"187","Forteresse","Raf Peeters","1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/forteresse","164","4","8","0","60","Moyen Age","Forteresse est un jeu de logique dans lequel le joueur doit défense son donjon en repoussant les envahisseurs. La boîte comprend 80 défis de difficulté croissante.","https://cdn1.philibertnet.com/501391-large_default/forteresse.jpg","https://www.youtube.com/watch?v=WIaJjMA9Ddc"
"188","Pagodes",,"1","0",,"164","4","7","0","0",,,,
"189","Quadrillon",,"1","0",,"164","4","7","0","0",,,,
"190","L'Aventurier",,"1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/laventurier","164","1","7","0","45","Labyrinthe, Temple","L'Aventurier est un casse-tête comprenant 60 défis répartis en 4 niveaux pour tous âges qui vous fera vivre de riches moments de remue-méninges.","https://cdn2.philibertnet.com/317962-large_default/l-aventurier.jpg","https://www.youtube.com/watch?v=ZXNveVBWaNw"
"191","Butterflies",,"1","0",,"164","4","7","0","0",,,,
"192","Cache-cache Pirates",,"1","0",,"164","4","5","0","0",,,,
"193","Lièvres et renards"," Raf Peeters","1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/li%C3%A8vres-renards#:~:text=Le%20but%20du%20jeu%20consiste,Les%20Champignons%20ne%20bougent%20pas%20!","164","4","7","0","0","Nature, Animaux","Lièvres & Renards est un jeu de logique et de réflexion pour un joueur dans lequel il faut aider les lièvres à rejoindre leur gîte. Le coffret propose 60 défis de niveau de difficulté croissant.","https://cdn3.philibertnet.com/501630-large_default/lievres-renards.jpg","https://www.youtube.com/watch?v=Vli4Hn6JXyk"
"194","La Nuit des Fantômes","Raf Peeters","1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/la-nuit-des-fant%C3%B4mes","164","4","6","0","60","Fantastique, Chemin","La Nuit des Fantômes est un jeu de casse-tête dans lequel les joueurs ont pour objectif d'éclairer tous les fantômes se trouvant dans la maison. Le jeu propose 60 défis évolutifs proposés.","https://cdn1.philibertnet.com/501407-large_default/la-nuit-des-fantomes.jpg","https://www.youtube.com/watch?v=Ol05v76pcOU"
"195","Parking Tournis",,"1","0",,"164","4","6","0","0",,,,
"196","Les Pingouins patineurs",,"1","0",,"164","4","6","0","0",,,,
"197","Les 3 petits cochons",,"1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/les-trois-petits-cochons","164","4","3","0","30","Animaux","Les Trois Petits Cochons est un jeu de réflexion pour enfants dans lequel les joueurs doivent placer les maisons pour que les cochons jouent à l'extérieur ou se protègent du loup selon la situation.","https://cdn3.philibertnet.com/501403-large_default/trois-petits-cochons-deluxe.jpg","https://www.youtube.com/watch?v=apb1x60zkyY"
"198","Bahuts malins","Raf Peeters","1","0","https://ludotheque.ath.be/les-regles-de-nos-jeux/2992-bahuts-malins.pdf","164","4","3","0","0","Camions","Les trois camions Groseille, Citron et Pruneau sont en route vers leur prochaine destination. Pouvez-vous les aider à tout emporter ?","https://cdn2.philibertnet.com/315132-large_default/trucky-3-bahuts-malins.jpg","https://www.youtube.com/watch?v=piGy395x7lA"
"199","Blanche-neige",,"1","0",,"164","4","4","0","0",,,,
"200","Camelot Jr","Raf Peeters","1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/camelot-jr","164","4","4","0","0","Médiéval","Construisez avec les tours et les escaliers, comme indiqué dans le défi, un chemin qui mènera le chevalier auprès de sa princesse.","https://cdn1.philibertnet.com/311037-large_default/camelot-junior.jpg","https://www.youtube.com/watch?v=f-wPr8g9h5U"
"201","Chateau logique",,"1","0",,"164","4","3","0","0",,,,
"202","Le Petit Chaperon Rouge","Raf Peeters","1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/le-petit-chaperon-rouge","164","4","4","0","60","Contes, Chemin","Petit Chaperon Rouge Deluxe est un jeu de réflexion idéal pour les jeunes enfants qui devront se creuser les méninges pour résoudre un à un les 24 défis de difficulté croissante.","https://cdn3.philibertnet.com/501399-large_default/petit-chaperon-rouge-deluxe.jpg","https://www.youtube.com/watch?v=ADLc67fJqoo"
"203","Smart Car 5x5",,"1","0",,"164","4","4","0","0",,,,
"204","IQ-Blox",,"1","0",,"164","4","6","0","0",,,,
"205","IQ Fit","Raf Peeters","1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-fit","164","4","6","0","30","Abstrait","Affutez vos neurones, avec IQ Fit de Smart Gmes, pour résoudre les défis de ce jeu de réflexion déconcertant qui comprend 120 défis et 5 niveaux de difficulté.","https://cdn3.philibertnet.com/401746-large_default/iq-fit.jpg","https://www.youtube.com/watch?v=Sqzpkd9fVOw"
"206","IQ-Focus",,"1","0",,"164","4","8","0","0",,,,
"207","IQ Link","Raf Peeters","1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-link","164","1","8","0","30","Abstrait","IQ-Link est un jeu de voyage compact et le jeu de réflexion le plus complexe dans la série IQ de SmartGames. Placez toutes les pièces du puzzle sur le plateau de jeu... Enfin, si vous y arrivez !","https://cdn2.philibertnet.com/401707-large_default/iq-link.jpg","https://www.youtube.com/watch?v=Lb1L-QH55Sg"
"208","IQ Puzzler Pro","Raf Peeters","1","1","https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-puzzler-pro","164","4","6","0","30","Abstrait","IQ Puzzler Pro est coffret de casse-têtes de l'éditeur SmartGames proposant 120 défis déclinés sous trois modes de jeu. Ce jeu aux multiples facettes offre aux joueurs de relever aussi bien des défis en 2D qu'en 3D!","https://cdn3.philibertnet.com/401760-large_default/iq-puzzler-pro.jpg","https://www.youtube.com/watch?v=OuDIR28UMTw"
"209","IQ-Twist",,"1","0",,"164","4","6","0","0",,,,
"210","IQ XOXO",,"1","0",,"164","4","6","0","0",,,,
"211","Arche de Noé",,"1","0",,"164","4","5","0","0",,,,
"212","Forêt enchantée",,"1","0",,"164","4","6","0","0",,,,
"213","Gruyère party",,"1","0",,"164","4","6","0","0",,,,
"214","Insectes en folie",,"1","0",,"164","4","7","0","0",,,,
"215","La Marche des Pinguoins",,"1","0",,"164","4","5","0","0",,,,
"216","La Mare aux canards",,"1","0",,"164","4","6","0","0",,,,
"217","Le Monde Aquatique",,"1","0",,"164","4","5","0","0",,,,
"218","Geosmart",,"1","0",,"164","4","3","0","0",,,,
"219","Dwarfs",,"2","4",,"102","1","12","0","45",,,,
"220","Kryptos",,"3","6",,"102","1","8","0","15",,,,
"226","Wendake",,"1","4",,"102","3","14","0","120",,,,
"227","Lumens",,"2","4",,"173","1","8","0","30",,,,
"228","Magic Maze + ext Max Secur",,"1","8",,"174","1","8","0","15",,,,
"229","Magic Maze Kids",,"2","4",,"174","4","5","0","15",,,,
"230","Viking Gone Wild + Ext",,"2","4",,"175","3","10","0","60",,,,
"231","Ice Cool",,"2","4","https://www.atalia-jeux.com/index.php?controller=attachment&id_attachment=164","176","1","6","0","20",,,,
"232","Thèbes",,"2","4",,"173","1","10","0","90",,,,
"233","Limite Limite Limite",,"3","12",,"102","1","18","0","30",,,,
"234","Limite Limite",,"3","10",,"102","1","18","0","30",,,,
