"idEditeur","libelleEditeur","exposant","distributeur","logoEditeur"
"97","Act in Games","1","0","https://www.festivaldujeu-montpellier.org/wp-content/uploads/2025/04/act_in_games.png"
"98","Abysse Corp","0","0",
"99","Ankama","0","0",
"100","Asmodee","1","1","https://cdn.svc.asmodee.net/production-asmodeefrv2/uploads/2024/05/LOGO_ASMODEE-1.png"
"101","Asyncron","0","0",
"102","Atalia","1","1","https://www.atalia-jeux.com/img/atalia-jeux-logo-1489513199.jpg"
"103","Tiki","1","0","https://www.tikieditions.com/wp-content/uploads/2020/05/cropped-logo-250-250.png"
"104","Blue Orange","1","0","https://blueorangegames.eu/wp-content/uploads/thegem-logos/logo_2f8ee8a896e01b1b1f5df5ebcef34819_2x.png"
"105","Days of Wonder","1","0","https://ncdn1.daysofwonder.com/fr/img/boardgames_logo.png"
"106","Purple Brain Creations","0","0",
"107","Blue Cocker Games","1","0","https://bluecocker.com/wp-content/themes/bluecockerunderscore/images/logo.svg"
"109","Bankiiiz Editions","1","0","https://wordpress.blackrockgames.fr/wp-content/uploads/2022/10/Sans-titre-10.jpg"
"110","Flip Flap Editions","1","0",
"111","Ludonaute","1","0","https://www.ludonaute.fr/wp-content/uploads/2014/12/LOGO.png"
"112","Paille Editions","1","0",
"113","Grain de Créa","0","0",
"114","OZ éditions","1","0",
"115","Edition 404","0","0",
"116","Jeux Opla","1","0","https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png"
"117","Old Chap","1","0",
"118","Blackrock Games","1","0","https://cf.geekdo-images.com/hKD26bAH_-2lit7oihZtQA__itemrep/img/QXrsckBZaQQjAL_PdcD3tPCl9qI=/fit-in/246x300/filters:strip_icc()/pic7955792.png"
"119","Le Droit de Perdre","0","0","https://ledroitdeperdre.com/img/prestashop-logo-1603115177.jpg"
"122","Fun Forge","1","0","https://funforge.fr/cdn/shop/files/logo_2018-fondnoir.png?v=1703149432&width=180"
"123","Haba","1","0","https://www.haba-play.com/haba/assets/images/logo-haba.svg"
"124","Libellud","1","0","https://cdn.trictrac.net/discourse/original/3X/0/f/0f23476ebc64de67d08902f13e34ef32fe087916.png"
"125","Captain Macaque","0","0",
"126","Bioviva","1","0","https://www.festivaldujeu-montpellier.org/wp-content/uploads/2019/10/bioviva.png"
"127","Game Flow","1","0","https://img.mailinblue.com/3995611/images/rnb/original/6124b1c14ec79830fb0e54b8.png"
"128","Cocktail Games","1","0","https://www.boitecast.net/wp-content/uploads/2014/12/cocktail-games-logo-296x300.png"
"129","Scorpion Masqué","1","0","https://www.scorpionmasque.com/sites/scorpionmasque.com/files/logo-100px.png"
"130","Catch Up Games","1","0","https://catchupgames.com/wp-content/uploads/2022/10/logo_fond_blanc.png"
"131","Igiari","1","0",
"132","The Flying Games","1","0","https://wordpress.blackrockgames.fr/wp-content/uploads/2022/11/The-flying-games-logo-1024x791.jpg"
"133","Djeco","1","0","https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png"
"134","Morning Player","0","0",
"135","Blam!","1","0","https://blam-edition.com/wp-content/uploads/2023/04/image-4-395x175-c-default.png"
"136","Super Meeple","1","0","http://www.supermeeple.com/wp-content/uploads/2015/02/logo-supermeeple-margin-top1.png"
"137","Lui-même","0","0",
"138","Gigamic","1","0","https://upload.wikimedia.org/wikipedia/commons/3/32/Logo_Gigamic_HD.jpg"
"139","Bombyx","1","0","https://www.festivaldujeu-montpellier.org/wp-content/uploads/2017/04/1808.png"
"140","Devil Pig Games","0","0",
"141","Docteur Pilule","0","0",
"142","Edge","0","0",
"143","Geek Attitude Games","1","0","https://www.jeuxdenim.be/images/sites/GeekAttitudeGames-2020-02-02-11-54-13.jpg"
"144","Goliath","1","0","https://cdn.jeux-goliath.com/wp-content/themes/goliath/img/goliath-logo.png"
"145","Hurrican Edition","1","0",
"146","Iello","1","0","https://iello.fr/wp-content/uploads/2021/08/logo-iello.svg"
